idCliente;apellido1;apellido2;nombre;salario;rangoSalarial;localidad;municipio;provincia
1;ACUÑA;CABRERA;EFRAIN ANDRES;31104,00238;alto;Adanero;La Moraña;Ávila
2;ALMEIDA;BERDIÑAS;GERARDO;30511,90081;medio;Albornos;;Ávila
3;ANDRADE;DUHALDE;JAVIER ZENON;35336,16024;muy alto;Aldeanueva de Santa Cruz;Comarca de El Barco de Ávila-Piedrahíta;Ávila
4;ANGELINI;IGUINI;ANA MONICA;32314,94956;alto;Aldeaseca;La Moraña;Ávila
5;ARTOLA;NARANJA;ENRIQUE;25940,92996;medio;Amavida;Valle del Amblés;Ávila
6;BANGO;ALVAREZ;JULIO CESAR;29051,31878;medio;Arevalillo;Comarca de El Barco de Ávila-Piedrahíta;Ávila
7;BARONE;ZABALLA;CARLOS;16261,7517;muy bajo;Arévalo;La Moraña;Ávila
8;BARRIOS;SANCHEZ;HECTOR CICERON;30957,5572;medio;Aveinte;;Ávila
9;BARRIOS;VIANA;JULIANA;28007,37729;medio;Avellaneda;Comarca de El Barco de Ávila-Piedrahíta;Ávila
10;BELTRAME;ECHEVERRIA;FRANCISCO SNATIAGO;36549,82129;muy alto;Barromán;La Moraña;Ávila
11;BENTANCUR;CORTABARIA;ALVARO;21307,88098;muy bajo;Becedas;Alto Tormes;Ávila
12;BENTANCUR;PAIS;WILSON JESUS;33183,61252;alto;Becedillas;;Ávila
13;BERRUTI;MACAGNO;JUAN ANGEL;33181,84677;alto;Benavente;Benavente y Los Valles;Ávila
14;BESOZZI;CERCHI;PEDRO;42016,13284;muy alto;Bercial de Zapardiel;La Moraña;Ávila
15;BILLAR;LARROSA;SENOVIO;22897,11968;muy bajo;Bernuy-Zapardiel;La Moraña;Ávila
16;BLANC;SOSA;SILVIA BERNARDITA;29780,45473;medio;Berrocalejo de Aragona;;Ávila
17;BLAS;SIMONCELLI;RODRIGO;35778,63135;muy alto;Blascomillán;;Ávila
18;BLASINA;VIERA;JUAN GONZALO;33348,81729;alto;Blasconuño de Matacabras;La Moraña;Ávila
19;BOBBA;OJEDA;JOSE;31402,91683;alto;Blascosancho;;Ávila
20;BONNECARRERE;MARTINEZ;MARIA CLAUDIA;26596,90139;medio;Bohoyo;Comarca de El Barco de Ávila-Piedrahíta;Ávila
21;BONOMI;VARELA;EDISON EDUARDO;21404,33751;muy bajo;Bonilla de la Sierra;Comarca de El Barco de Ávila-Piedrahíta;Ávila
22;BORDOLI;NEDOR;GUILLERMO;37126,09807;muy alto;Brabos;;Ávila
23;BRECCIA;GUZZO;ALBERTO RAUL;17477,31604;muy bajo;Bularros;;Ávila
24;BRIOZZO;CLIVIO;CESAR ALFREDO;26069,72229;medio;Burgohondo;;Ávila
25;CABRERA;COLETTO;LUIS EDUARDO;22515,89574;muy bajo;Cabezas de Alambre;La Moraña;Ávila
26;CABRERA;ORGA;JUAN ANTONIO;30940,94251;medio;Cabezas del Pozo;La Moraña;Ávila
27;CABRERA;PUENTE;ALICIA;28693,67521;medio;Cabezas del Villar;;Ávila
28;CABRERA;LESTEGAS;JORGE GUALBERTO;36820,82259;muy alto;Cabizuela;La Moraña;Ávila
29;CANON;PEDRAGOSA;ENRIQUE GILBERTO;22125,149;muy bajo;Canales;La Moraña;Ávila
30;CANOVA;ARRARTE;MARTA;31021,02491;alto;Candeleda;Comarca de Arenas de San Pedro;Ávila
31;CARAMBULA;SAGASTI;ANTONIO;29465,60091;medio;Cantiveros;La Moraña;Ávila
32;CARDOZO;MARTINEZ;CARLOS;20522,70894;muy bajo;Cardeñosa;Comarca de Ávila;Ávila
33;CARRIQUIRY;MENDIOLA;AGUSTIN JOSE;33869,67289;alto;Casas del Puerto;Comarca de El Barco de Ávila-Piedrahíta;Ávila
34;CASAMAYU;GOMEZ;MARTHA YOLANDA;31356,81832;alto;Casasola;;Ávila
35;CASARETTO;DAMINO;VICTOR ALEJANDRO;32020,73117;alto;Casavieja;Comarca de Arenas de San Pedro;Ávila
36;CASAS;RODRIGUEZ;ALICIA;33189,14322;alto;Casillas;Comarca de Arenas de San Pedro;Ávila
37;CABRERA;LUCAS;ANDREA MARA;25730,52084;medio;Castellanos de Zapardiel;La Moraña;Ávila
38;CHAGAS;SANTELLANO;RENE;38435,1762;muy alto;Cebreros;;Ávila
39;CHAVAT;AZENI;JOSE ENRIQUE;42583,44477;muy alto;Cepeda la Mora;;Ávila
40;CONDENANZA;HAEDO;OLGA ELENA;31551,18094;alto;Cillán;;Ávila
41;CORBO;PEREYRA;DORELEY LILIÁN;27318,6071;medio;Cisla;La Moraña;Ávila
42;CORREA LUNA;ORGAZ;GABRIEL;20475,29556;muy bajo;Collado de Contreras;La Moraña;Ávila
43;CORREA LUNA;CAMP;ALEJANDRO;27458,04339;medio;Collado del Mirón;;Ávila
44;COSSE;BAUBETA;MARIA AUXILIADORA;26456,50975;medio;Constanzana;La Moraña;Ávila
45;COYA;ALBOA;JOSE MARIA;27258,56318;medio;Crespos;La Moraña;Ávila
46;CUSANO;LUPACHINA;MAURICIO;25914,02798;medio;Cuevas del Valle;Comarca de Arenas de San Pedro;Ávila
47;DA SILVA;LASSALLE;CRISTINA MARIA;31936,62279;alto;Diego del Carpio;;Ávila
48;PEREIRA ;COLOMBO;SHIRLEY YANET;27601,99731;medio;Donjimeno;La Moraña;Ávila
49;DARDANO;LAYES;JUAN CARLOS;34312,42183;alto;Donvidas;La Moraña;Ávila
50;DANIEL;GARCIA;FERNANDO;27397,73082;medio;El Arenal;Comarca de Arenas de San Pedro;Ávila
51;DANTA;RODRIGUEZ;FABIANA ESTELA;28086,67254;medio;El Barco de Ávila;Comarca de El Barco de Ávila-Piedrahíta;Ávila
52;DARDANO;ROSSINI;JACQUELINE;33739,62947;alto;El Barraco;Valle del Alberche;Ávila
53;DAUBER;MARTA;MARCELO;23805,09828;bajo;El Bohodón;La Moraña;Ávila
54;DE CAMILLI;HERMIDA;SYLVIA JUDITH;24920,12003;bajo;El Fresno;Valle de Amblés;Ávila
55;DE FEO;NAGGI;SUSANA TERESA;20042,27315;muy bajo;El Hornillo;Comarca de Arenas de San Pedro;Ávila
56;DE GROSSI;LISTUR;ANDRES PEDRO;29761,10893;medio;El Hoyo de Pinares;;Ávila
57;DE GUIDA;SILVESTRI;MARIELA;40090,23912;muy alto;El Losar del Barco;Alto Tormes;Ávila
58;DE LA ROSA;MACEDO;JOSE;31808,98241;alto;El Mirón;;Ávila
